uid,year,movie_ids
1024643,2003,30
1024732,1996,58
1024732,2003,30
1024768,2002,28
102487,2003,30
1025008,2002,28
102513,2004,8
1025234,2000,33
102548,2000,33
1025559,1964,46
1025592,1983,83
1025601,2002,97
1025646,2003,30
1025734,2002,28
1025888,1952,76
1025896,2000,33
1025990,2003,30
102617,2003,30
102617,2005,17
1026214,1996,44
1026214,2003,30
1026291,2002,28
1026298,1996,44
1026298,2004,108
1026373,2003,30
1026392,1996,58
1026740,2003,30
1026909,1994,18
1026926,2004,32
1027168,1996,58
1027200,2003,30
1027260,2003,30
1027280,1965,104
1027280,2003,30
1027507,2000,33
1027723,2003,30
1027831,2003,30
1027871,2003,30
1027887,1995,57
102798,1995,77
1028034,2003,30
1028177,2003,30
102828,1983,83
102828,2003,30
1028463,1965,104
1028463,2003,30
1028463,2004,68
1028480,1999,45
102859,1997,3
1028705,2003,30
1028986,1983,83
102929,2003,30
1029360,2002,97
1029449,1995,55
1029449,2002,28
1029449,2003,30
1029530,1983,83
1029633,1983,83
1029708,2003,30
1029802,2002,97
1029833,1996,44
1029849,2000,33
1029864,1996,"44,58"
103040,2003,30
1030405,2003,30
1030520,2003,30
1030718,1994,18
1030733,2003,30
1030755,2002,28
1030755,2003,30
1030758,1983,83
1030764,2002,28
10310,2002,28
1031239,2002,28
1031255,2002,28
10315,2002,28
1031567,2002,28
1031625,2002,28
1031811,1996,"44,58"
1031995,2003,30
1032096,2002,28
1032298,1983,83
1032301,1964,46
1032407,2003,30
1032425,1994,18
1032512,1983,83
1032529,2002,28
1032531,2003,30
1032538,2003,30
1032619,1956,79
1032619,1983,83
1032704,2003,30
1032736,2003,30
1033100,1995,77
1033119,2003,30
1033361,2002,97
1033428,2003,30
1033629,1952,76
1033930,2002,28
1034138,2002,52
1034375,1964,46
1034375,2002,28
1034381,1964,46
1034381,1983,83
1034488,1964,46
1034529,1952,76
1034623,2002,52
1034623,2004,8
103485,1996,58
1034926,1996,58
1035000,2002,28
1035520,1994,18
1035775,1952,76
1035905,2000,33
1036041,2003,30
1036099,1996,44
1036167,2002,"28,84"
1036336,1995,57
1036350,1952,76
1036350,2003,30
1036387,1996,58
1036387,2002,28
1036405,2001,48
1036405,2003,30
1036535,2003,30
1036641,2002,28
1036692,2004,56
1036975,2003,30
1036992,1996,58
1037015,2004,8
1037080,2002,28
1037088,2002,97
1037138,1995,57
103714,2003,30
1037164,2004,56
1037226,2003,30
1037245,1996,"44,58"
1037347,1996,58
10374,2004,32
1037424,2003,30
1037454,2003,30
103780,2003,30
1037868,1994,18
1037882,2003,30
1037882,2004,8
1037889,2003,30
1037924,1964,46
103811,2003,30
1038183,2002,28
1038476,2003,30
1038515,1996,58
1038515,2002,28
103867,1995,57
1038791,1952,76
1038791,2002,28
1038814,2000,33
1039039,2000,33
103904,1964,46
1039198,2003,30
1039270,2002,97
1039297,2003,30
1039413,2003,30
1039470,2003,30
1039502,2003,30
1039641,2003,30
1039753,2003,30
1039913,2003,30
1039981,2003,30
1040041,2003,30
1040041,2004,56
10401,2002,28
1040151,2002,28
1040259,1956,79
1040397,1996,58
1040848,1952,47
1040848,2002,97
1040924,2003,30
1041042,2001,48
1041042,2004,68
1041084,1996,44
1041084,2002,28
1041358,2003,30
1041412,2002,28
1041749,1983,83
1041749,1996,58
1041749,2004,8
1041851,2000,33
1041908,2003,30
1041943,1956,79
1042000,2003,30
104202,2003,30
1042060,2003,30
1042227,2003,30
1042317,2004,8
104237,1995,77
104237,2003,30
1042614,2003,30
1042753,2004,68
1042784,2002,"28,97"
1042784,2003,30
104300,1994,18
1043089,2000,33
1043089,2001,48
1043309,1994,18
1043337,2002,28
1043456,1996,58
1043529,2004,32
1043581,2004,26
1043852,1996,58
104391,2002,28
1043955,2003,30
1043960,2002,28
1044200,2003,30
104422,1996,58
104422,2002,28
104422,2003,30
1044352,2003,30
1044976,1983,83
1045053,1996,58
1045062,1996,58
1045087,1964,46
1045360,2000,33
1045360,2002,28
104544,2004,108
1045469,2003,30
1045497,2000,33
1045759,2002,28
1045759,2003,30
1045766,2002,84
1046290,2003,30
1046297,2002,28
1046329,2003,30
1046634,2003,30
1046634,2004,8
1046809,2002,28
1046857,1983,83
1046994,1983,83
10470,2000,33
1047039,1956,79
1047039,2002,97
1047129,2003,30
1047298,2002,28
1047341,1994,18
104744,2003,30
1047589,2004,8
1047641,1983,83
1047641,2002,52
104768,1997,3
1047711,2004,8
1047827,2003,30
1047904,2003,30
1047927,2003,30
1048044,2002,97
1048152,2002,28
1048199,2003,30
104851,1994,18
1048763,2003,30
1048903,2004,8
104899,2002,28
1049010,1952,76
1049239,2002,28
10493,2003,30
1049416,2003,30
1049532,2000,33
1049943,2004,8
1050066,2002,28
1050083,2003,30
1050184,2003,30
1050184,2004,56
105019,2001,48
105029,2002,28
1050406,2003,30
1050494,2003,30
105104,2004,68
105115,1983,83
1051210,2002,97
1051322,2000,33
1051350,2003,30
105155,1983,83
105155,2003,30
1051569,2000,33
1051628,2003,30
1051757,2004,8
105187,2002,28
105187,2003,30
1051922,2002,28
1051945,2003,30
1052040,2002,28
1052076,2002,28
1052128,2003,30
105215,2003,30
1052289,2003,30
1052725,1996,44
1052778,2003,30
1052855,2002,28
1052950,2003,30
1052986,2003,30
1053278,2002,28
1053440,2002,97
1053487,2003,30
1053540,2003,30
1053629,2002,97
1053665,2003,30
1053828,1995,57
1053871,1996,58
1053903,2003,30
1053910,2003,30
1054053,2003,30
105416,2003,30
105416,2004,8
1054188,1952,76
1054215,2002,28
1054248,2001,48
1054248,2002,"28,84"
1054289,2002,28
1054695,2004,32
1054730,2000,33
1054773,1983,83
1054783,1996,44
1054783,2003,30
1054915,2002,52
1055166,2003,30
1055248,2002,28
1055451,2003,30
1055456,2003,30
1055669,1997,3
1055669,2003,30
1055714,1983,83
1055714,1994,18
1055714,1995,57
1055714,1996,58
1056239,2003,30
1056542,1996,44
1056759,2004,8
1056872,2002,28
1056896,2004,8
1056998,2002,97
1057021,1952,76
1057021,2001,48
1057021,2002,28
1057247,2002,97
1057251,1996,58
10574,1964,46
1057437,2003,30
1057475,2003,30
1057529,2002,28
1057551,2002,28
1057551,2003,30
105764,2000,33
1057675,1996,58
1057989,2000,33
1058039,2002,97
1058074,2002,28
105825,2000,33
105833,2002,28
1058392,2002,28
1058399,2002,28
1058417,2003,30
1058508,1964,46
1058910,2003,30
1058930,1965,104
1058997,2003,30
1059036,2002,28
1059036,2003,30
1059073,2002,28
1059081,1983,83
1059081,2002,28
1059082,2003,30
1059089,2001,48
1059284,1956,79
105929,2004,68
1059417,2003,30
1059660,2003,30
1059683,2003,30
1059710,2004,68
105982,2003,30
1059906,1964,46
1059906,1996,44
1059936,2003,30
105995,1994,18
1059977,2002,28
1060149,2003,30
1060198,2003,30
1060447,2003,30
1060977,1994,18
1061033,2000,33
106116,2002,28
1061195,2001,48
1061195,2002,97
1061230,2002,28
1061322,2001,48
1061597,2000,33
10616,2003,30
1061676,2003,30
1061932,2002,28
1062029,2004,32
1062068,1995,57
1062123,2002,28
1062133,1952,76
1062154,1964,46
1062196,1964,46
1062196,1996,58
1062213,1996,58
1062335,2003,30
1062450,1964,46
1062450,1983,83
1062450,2003,30
106275,2002,97
1062910,2003,30
1063188,1995,77
1063188,2002,28
1063188,2003,30
1063281,2003,30
1063645,1956,79
1063716,2003,30
1063747,1994,18
1063747,1996,78
1063777,2003,30
1063817,1983,83
1063817,2003,30
1063883,1996,44
1063938,2003,30
1063950,2003,30
106397,2003,30
1064053,2003,30
1064177,2002,28
1064369,2002,97
106442,2003,30
1064523,2003,30
1064540,1983,83
1064747,1996,58
106475,2003,30
1064752,2002,28
1064774,2003,30
1064805,2002,28
106497,2003,30
106504,1964,46
1065154,1952,76
1065302,2003,30
1065334,2002,28
1065402,2004,"26,32"
1066046,2002,28
1066079,2003,30
106615,2002,28
1066157,2004,68
1066199,2003,30
1066315,2003,30
1066317,2002,28
1066481,2001,48
1066571,2002,52
1066611,2003,30
1066824,2002,28
1066926,1956,79
1067,2003,30
1067070,2003,30
1067070,2004,56
1067376,1983,83
1067383,2004,32
1067399,1996,44
1067480,2002,28
1067604,2002,52
1067761,1965,104
10679,1952,76
1067920,1996,58
1067990,1952,76
1068136,2002,97
1068252,2003,30
1068454,1996,16
1068475,1994,18
1068554,2002,28
1068656,2004,68
1068799,2003,30
106890,2003,30
1068988,1996,58
1069048,2002,28
1069273,2002,28
1069273,2004,8
1069683,2003,30
1069734,2002,97
1069802,1996,58
1069896,2003,30
1070141,2002,97
107019,2004,8
1070249,2004,32
1070432,2003,30
1070508,2002,28
107053,2003,30
1070547,1996,"44,58"
1070547,2002,28
1070554,2003,30
1070584,2003,30
1070629,2002,28
1070667,2003,30
1070671,1994,18
1070701,1964,46
1070765,2002,97
1070966,2003,30
1071011,2002,28
107108,2003,30
1071080,1983,83
1071141,2004,68
1071153,1964,46
1071153,2002,28
1071305,2002,97
1071510,1995,77
1071510,2003,30
1071510,2004,32
1071524,2003,30
1071547,1996,44
1071547,2002,28
1071647,2003,30
1071752,2002,97
1071752,2004,8
1071840,2002,28
1071856,2001,48
1072193,2003,30
1072312,1995,77
1072312,1996,58
1072312,2002,28
1072890,1983,83
107309,2004,26
1073214,2002,28
1073293,2003,30
1073300,2002,28
1073345,2002,28
1073396,1995,77
1073396,2002,"28,84"
1073496,2002,28
1073522,2002,28
1073729,1996,"44,58"
1073838,1994,18
1073910,1995,77
1074089,2003,30
1074260,2001,48
1074305,1964,46
1074305,2003,30
107435,1952,76
1074378,2002,"28,97"
1074402,2003,30
107445,2000,33
1074559,1996,44
107494,2005,17
1075001,2002,28
1075151,2002,28
1075294,1983,83
1075330,2003,30
107542,2003,30
1075509,2004,8
1075576,2004,26
1075722,1983,83
1075739,2000,33
1075960,1956,79
1076126,1996,44
1076207,2000,33
107622,1994,18
1076254,1995,57
1076412,1983,83
1076473,2004,8
1076515,1994,18
107656,2002,28
1076614,1956,79
1076615,2003,30
1076619,2002,28
1076694,2002,28
1076733,2003,30
107703,1983,83
1077082,1996,78
1077102,2003,30
1077102,2004,8
1077300,2003,30
1077352,2000,33
1077425,2002,28
1077444,1983,83
1077591,2004,68
1077783,2002,28
10779,1952,76
1078245,1996,78
1078286,2003,30
1078395,2003,30
1078406,2002,52
1078644,2002,28
107880,1996,16
1078800,2001,48
1079056,1996,58
10791,1994,18
1079115,2002,28
1079598,1983,83
1079598,1995,77
1079613,2003,30
1079644,2003,30
1079943,2003,30
1080071,1994,18
1080078,1995,77
1080099,2003,30
1080188,2003,30
1080188,2004,8
1080361,1995,77
1080361,2002,28
1080447,2003,30
1080776,2004,32
1080854,2000,33
1080854,2004,26
1080872,2002,28
1080872,2004,32
1080905,2004,8
1081036,2000,33
1081070,2003,30
1081168,2003,30
1081270,1956,79
1081282,2000,33
1081442,1995,55
1081442,2003,30
1081462,2004,68
1081737,2002,28
108176,2000,33
1081905,1996,44
1081905,2003,30
1081948,1996,58
1082078,1983,83
1082353,1983,83
1082408,2002,28
1082476,1964,46
1082476,1994,18
108255,2002,97
1082768,2000,33
1082770,1964,46
1082771,2003,30
1082947,2003,30
1083037,1952,76
1083037,1983,83
1083069,2002,28
1083181,2003,30
1083252,1994,18
1083414,1964,46
1083425,2000,33
1083496,2004,8
1083720,1996,58
1083799,2002,28
1083890,2003,30
1084119,2003,30
1084137,1964,46
1084137,1983,83
1084137,1994,18
1084267,2003,30
1084515,2003,30
1084524,1996,44
1084538,2002,28
1084663,1952,76
1084669,1965,104
1084923,1996,16
1085207,2003,30
1085241,1964,46
1085314,1956,79
1085375,2002,28
1085566,1964,46
1085738,2001,48
1085738,2002,"28,84"
1085805,2003,30
1085812,2002,28
1086021,2003,30
1086022,1994,18
1086213,2004,"8,68"
1086329,2003,30
1086635,2003,30
1086794,2003,30
1086861,2004,8
1087171,2002,97
108722,2002,28
1087409,2002,"28,97"
1087416,2002,28
1087457,2000,33
1087472,1997,3
1087650,2003,30
1087903,2002,28
1087941,2002,28
1087963,2003,30
1088005,1996,58
1088005,2003,30
1088073,2003,30
1088269,1983,83
1088293,2003,30
1088556,1983,83
1088558,1996,58
1088725,2002,28
108884,1996,58
1088910,2004,68
1089019,1983,83
1089326,1965,104
1089335,1994,18
108936,2003,30
1089366,1995,57
1089428,2003,30
1089498,2000,33
1089498,2004,68
1089687,1996,44
1089687,2002,28
1089707,2003,30
1089773,2003,30
1089800,2002,97
1089873,2000,33
1089873,2003,30
1089953,2004,8
1090011,2003,30
10901,1996,58
10901,2003,30
1090155,2002,28
1090155,2003,30
1090211,2003,30
1090354,2004,8
1090697,2002,28
1090697,2003,30
1090713,2002,28
1090735,2000,33
1090765,2003,30
1090777,1964,46
1090851,1994,18
1090891,2003,30
1090939,2002,28
109124,1983,83
109124,1995,57
1091251,2003,30
1091316,2000,33
1091372,2003,30
1091467,2004,8
1091645,2003,30
1091721,2003,30
1091724,1964,46
1091761,2003,30
1091797,2003,30
1091839,2003,30
1091886,2002,28
1092005,1996,58
1092074,2003,30
1092189,1956,79
1092677,1996,58
1092677,2003,30
1092685,2003,30
1092842,2000,33
1092852,2002,97
1093198,2002,28
1093214,2003,30
1093403,1983,83
1093403,1994,18
1093500,1996,58
109384,1994,18
1093988,2000,33
1094019,1996,58
1094019,2003,30
1094132,2002,"28,84"
1094132,2003,30
10943,2003,30
1094578,2002,28
1094578,2003,30
1094757,1994,18
1094767,1996,44
1094918,2000,33
1094998,2003,30
1095085,1964,46
1095230,2003,30
1095305,2003,30
1095395,2002,28
1095461,1996,58
1095461,2003,30
1095497,1956,79
1095536,2002,28
1095756,2003,30
1095823,2000,33
109585,2003,30
1095918,2003,30
1096063,2002,52
1096082,1996,58
1096119,1996,58
109621,1983,83
109621,2002,28
1096219,1994,18
1096353,2002,28
1096550,1996,"44,58"
1096555,2001,48
1096568,1995,57
109667,1983,83
109667,1996,44
1097051,2003,30
1097058,1952,76
1097058,2003,30
10972,2003,30
1097280,1994,18
1097280,2003,30
1097447,2001,48
1097447,2002,28
1097485,1996,58
1097788,2002,28
1097970,2003,30
1098018,2002,28
1098048,2002,28
1098179,2003,30
1098265,1995,57
1098812,2003,30
1098817,1995,77
109898,1995,77
1099190,2003,30
1099404,1952,47
1099459,2003,30
1099722,2003,30
1099833,2003,30
1099895,2003,30
1099977,1983,83
1099981,1995,57
1100043,2004,26
1100109,2004,8
1100192,2003,30
1100520,2003,30
1100735,2002,97
1100765,2000,33
110081,2003,30
1100912,2003,30
1100958,1983,83
1101054,1983,83
1101438,2002,28
1101542,1996,44
1101737,2003,30
1101745,2003,30
1101839,2000,33
1101854,2002,28
1102055,2003,30
1102112,2002,28
1102208,2003,30
110229,2003,30
1102418,1996,58
1102418,2004,26
1102418,2005,17
1102482,2002,28
1102571,2003,30
1102582,1983,83
110288,1952,"47,76"
1103080,1952,"47,76"
1103178,1952,47
1103206,1996,78
1103206,2002,28
1103259,1983,83
1103452,2003,30
1103969,2003,30
1104107,2002,28
1104194,1995,77
1104231,2003,30
11043,1983,83
11043,1995,55
11043,1996,58
11043,2002,28
11043,2003,30
1104620,2004,68
1104675,1996,58
1104703,2003,30
1104740,2003,30
1104800,2000,33
1104959,2003,30
1105029,1983,83
1105040,2002,28
1105067,2004,32
1105117,1964,46
1105276,2002,28
1105298,2003,30
1105526,2003,30
1105623,2003,30
1105663,2002,97
1105686,1983,83
1105698,2004,68
11059,1994,18
1106137,2003,30
1106590,2002,28
1106680,2003,30
1106767,1996,58
1106767,2003,30
1106971,1964,46
1107093,2003,30
110710,1995,57
1107180,2003,30
1107183,1997,3
1107212,1996,58
1107274,2003,30
1107303,2002,28
1107343,2003,30
1107429,2002,28
1107475,2002,28
1107549,2002,97
1107836,2004,108
1107849,2002,28
1107860,2002,28
1108004,2001,48
1108161,2003,30
1108432,1996,58
1109043,2001,48
1109322,1996,58
110947,2002,28
1109711,1964,46
1110156,2003,30
1110223,1994,18
1110254,2002,28
1110291,1994,18
1110418,1964,46
1110479,1996,44
1110671,2003,30
1110828,2002,28
1110906,2000,33
111118,2000,33
1111259,2003,30
111127,2003,30
1111428,2002,28
1111433,1994,18
1111764,1996,58
1111852,2003,30
1111868,2002,"28,84"
1111943,1983,83
1111943,2000,33
1111943,2003,30
1112107,2003,30
1112255,1964,46
1112255,1995,77
1112779,1964,46
1112779,1999,45
1112779,2002,28
1112779,2004,32
1112800,2003,30
1112826,2004,68
1112862,1983,83
1113230,1964,46
111337,1995,77
1113393,2002,28
1113393,2003,30
1113478,2003,30
1113515,1952,76
1113647,2004,8
1113813,2002,28
1113878,1965,104
1113980,2003,30
11142,2002,28
1114339,2003,30
1114349,1964,46
1114349,2004,8
1114364,1964,46
1114364,1983,83
1114619,2002,28
1114756,2002,28
111479,2004,68
1114821,2000,33
1114821,2004,32
1115010,1983,83
1115010,1994,18
1115050,1995,57
1115107,2003,30
1115114,2002,97
1115285,1996,58
1115372,1996,78
1115372,2000,33
1115372,2003,30
1115391,2004,32
1115472,1964,46
1115567,2002,28
1115774,2003,30
1115776,2003,30
1116129,1965,104
1116280,2002,28
1116356,2003,30
1116370,2003,30
1116496,2002,28
1116511,2004,68
1116705,2002,28
1116705,2003,30
1116791,2003,30
1116818,1964,46
1116838,2001,48
1116876,2002,28
11169,2003,30
1117143,2003,30
1117149,2004,32
1117152,1995,77
1117152,1996,"16,58"
1117152,2003,30
1117314,1994,18
111736,1964,46
111736,2003,30
1117405,2003,30
111751,2003,30
111772,1996,44
1117757,1996,44
1117757,2002,28
1118293,2002,28
1118447,2003,30
1118931,2003,30
1119063,1994,18
1119267,2004,8
1119442,2000,33
1119468,1994,18
1119468,2000,33
111977,2003,30
1119804,2003,30
1119859,1983,83
1119872,1996,16
1119879,1983,83
1120026,2002,28
1120457,2003,30
1120541,1994,18
1120541,2003,30
1120627,1965,104
1120627,2003,30
1120853,2002,28
112094,2002,28
1120985,1996,16
1120985,2004,26
1121093,2000,33
1121211,2000,33
1121319,2004,8
11215,2000,33
1121577,2003,30
1121588,2000,33
1121725,1994,18
1121811,2002,28
1121887,2003,30
1122020,2002,52
1122104,1996,58
1122128,2003,30
112215,2000,33
1122249,2004,32
1122390,1995,77
112241,2002,28
1122427,2004,68
1122771,2003,30
1122791,2002,28
1122804,1964,46
1122838,2002,97
1123111,1952,76
112312,1964,46
112320,1996,58
112320,2002,28
112327,2002,28
1123424,2002,28
1123466,1983,83
112371,2004,32
1124107,2002,97
1124237,1995,57
1124242,1983,83
1124242,2003,30
112449,2000,33
1124491,1964,46
1124491,2002,28
1124600,2003,30
1124877,2003,30
1124974,1996,58
1124974,2002,28
1125075,2004,68
1125302,2003,30
1125456,2003,30
1125711,2003,30
1125733,2000,33
1125803,2000,33
1125849,2002,28
1126211,1996,58
1126375,2002,97
1126387,2003,30
1126516,1983,83
1126516,1994,18
1126516,1996,58
1126546,1983,83
1126571,1995,57
1126652,2002,28
1126703,2004,8
1126733,2003,30
1126840,1983,83
1126986,2002,28
1127006,2003,30
1127288,2003,30
1127519,2002,28
1127529,2000,33
1127897,2003,30
1127936,2002,28
1127960,1996,58
1128164,1952,76
1128164,2003,30
1128350,2003,30
1128422,2004,8
1128485,2003,30
1128620,2000,33
1128644,2002,28
112886,2003,30
1129140,2000,33
1129235,1983,83
112938,2002,28
112938,2003,30
112956,2002,28
1129582,2003,30
1129687,1995,77
1129687,1996,58
1129687,2002,28
1129984,2002,28
1130115,2002,52
1130231,2004,8
1130437,1994,18
1130461,2004,68
1130491,2003,30
1130496,2002,28
113055,2002,28
1130705,1983,83
1130721,2003,30
1130791,2003,30
1130882,2005,17
1130975,2003,30
113098,2003,30
1131325,2003,30
113166,2003,30
1131707,2003,30
1131853,1994,18
1131877,2004,26
1131917,2002,28
1131930,2003,30
1132053,1983,83
1132232,1964,46
1132253,2003,30
1132269,2003,30
1132300,2004,8
1132315,2003,30
1132373,2004,8
1132431,2003,30
1132434,2001,48
1132514,1994,18
1132526,1983,83
1132526,2002,97
1132764,2004,32
1132940,1964,46
1133003,2003,30
1133039,2003,30
1133199,2003,30
1133422,2003,30
1133502,2003,30
1133557,2002,28
113369,2003,30
1133763,1996,78
1133807,2004,8
1133946,1964,46
113411,1996,44
113411,2002,28
113411,2004,26
1134198,1996,58
1134306,2002,28
1134623,2002,28
1134677,1983,83
1134677,2002,52
1134764,2000,33
1135068,1994,18
1135068,2003,30
1135104,1994,18
1135336,1983,83
1135336,2003,30
113535,2000,33
1135351,2002,97
1135351,2003,30
1135374,2002,28
1135399,1983,83
1135399,1994,18
1135444,2003,30
1135584,2004,8
1135596,1964,46
1135679,2003,30
1135743,2002,97
1136005,2002,28
1136062,1983,83
1136082,1983,83
1136132,2002,28
1136201,1994,18
1136411,2003,30
1136431,1995,57
1136641,1983,83
1136678,1996,58
1136695,2000,33
1137159,2004,8
1137326,1965,104
1137400,2001,48
1137485,2000,33
1137491,2003,30
1137567,2004,32
1137578,2002,28
113767,1994,18
1137886,2002,28
1137886,2003,30
1137921,1994,18
1137921,2002,28
1137956,2002,97
1138048,2003,30
1138147,2003,30
1138168,2003,30
1138216,2003,30
1138277,2003,30
1138492,2003,30
1138540,2003,30
1138648,1996,58
1138747,2002,28
1138997,2000,33
1139029,2002,28
1139216,2004,8
1139218,1996,58
1139218,2002,28
1139246,2003,30
1139284,2003,30
11398,2001,48
1139925,1995,57
1139937,1956,79
1140048,2002,28
1140048,2003,30
114008,2002,52
1140091,2003,30
1140109,1964,46
1140151,2004,8
1140172,2003,30
1140255,1995,77
1140468,2003,30
1140479,2003,30
1140580,1994,18
114084,2003,30
1140964,1983,83
1140977,1995,77
1140977,1996,58
1140990,2000,33
1141065,1994,18
1141105,1995,55
1141105,2004,26
114111,2002,28
114111,2004,68
1141250,2002,52
1141289,2003,30
1141334,2002,97
1141391,2000,33
1141511,2002,28
1141718,2002,28
1142077,2002,28
1142169,2004,8
1142380,1956,79
1142701,2002,28
1142775,2003,30
114294,2003,30
11430,1995,77
11430,1996,58
1143242,1996,58
1143244,1996,58
1143408,2004,32
1143510,2003,30
1143536,2002,97
1143603,1995,55
1143687,2004,68
1143750,1956,79
1143750,2004,"56,68"
1143752,2003,30
1144050,2003,30
1144181,2003,30
1144197,2003,30
1144523,2003,30
114458,1956,79
1144617,2002,28
1144617,2004,32
1144671,2003,30
1144771,1983,83
1144825,2003,30
1144870,1995,77
1144887,2002,97
1144887,2003,30
1144910,2003,30
1144942,2001,48
1144950,1964,46
1144950,1996,78
1144950,2002,28
1145000,1996,44
114527,1952,76
1145387,1952,76
1145387,1996,58
1145640,2000,33
1145794,2003,30
1145948,2003,30
1145979,1956,79
1145979,2003,30
1146103,1952,76
1146626,1983,83
1146802,1996,58
1146865,2003,30
1146893,2002,28
114701,1964,46
114701,1965,104
1147251,1996,58
1147251,2002,28
1147370,1995,57
1147448,2001,48
1147567,2003,30
1147585,2002,28
1147594,2000,33
1147627,1994,18
1147641,1996,78
1147657,1996,58
1147738,1983,83
1147900,2004,8
1148103,1994,18
1148389,2003,30
1148490,2002,28
1148674,2002,28
1148836,1964,46
1149153,1964,46
1149153,1996,"58,78"
1149153,2002,28
